Puzzle,Number_of_given_elements,Result,Heuristics,Splits,Backtracks,Time
sudoku-0069,24,SAT,Two-Sided Jeroslow-Wang,2,0,8.368458986282349
sudoku-0069,24,SAT,Dynamic largest individual sum,68,39,10.245331048965454
sudoku-0070,24,SAT,Random,26,2,11.767504930496216
sudoku-0070,24,SAT,Two-Sided Jeroslow-Wang,27,21,11.82537055015564
sudoku-0070,24,SAT,Dynamic largest individual sum,995,939,57.001471281051636
sudoku-0071,24,SAT,Random,21,14,9.615726470947266
sudoku-0071,24,SAT,Two-Sided Jeroslow-Wang,2,0,8.918347120285034
sudoku-0071,24,SAT,Dynamic largest individual sum,186,156,13.665403604507446
sudoku-0072,24,SAT,Random,15,2,9.546122074127197
sudoku-0072,24,SAT,Two-Sided Jeroslow-Wang,8,0,9.246726751327515
sudoku-0072,24,SAT,Dynamic largest individual sum,229,164,18.910167694091797
sudoku-0073,24,SAT,Random,10,0,9.408154010772705
sudoku-0073,24,SAT,Two-Sided Jeroslow-Wang,10,1,9.077940225601196
sudoku-0073,24,SAT,Dynamic largest individual sum,841,792,44.1025595664978
sudoku-0074,24,SAT,Random,13,0,9.396775484085083
sudoku-0074,24,SAT,Two-Sided Jeroslow-Wang,6,0,8.978891611099243
sudoku-0074,24,SAT,Dynamic largest individual sum,172,135,16.323596715927124
sudoku-0075,24,SAT,Random,4,0,8.871453762054443
sudoku-0075,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.78173017501831
sudoku-0075,24,SAT,Dynamic largest individual sum,60,35,9.791159868240356
sudoku-0076,24,SAT,Random,13,1,9.737023830413818
sudoku-0076,24,SAT,Two-Sided Jeroslow-Wang,7,0,9.425207376480103
sudoku-0076,24,SAT,Dynamic largest individual sum,99,47,12.43669319152832
sudoku-0077,24,SAT,Random,9,0,9.049198389053345
sudoku-0077,24,SAT,Two-Sided Jeroslow-Wang,5,0,8.913344383239746
sudoku-0077,24,SAT,Dynamic largest individual sum,185,159,13.754055261611938
sudoku-0078,24,SAT,Random,6,0,9.458911418914795
sudoku-0078,24,SAT,Two-Sided Jeroslow-Wang,10,1,9.646844625473022
